message,label
Dear User your account has been compromised. Immediate action is required! Click the link below to secure your account before it's permanently disabled.,1
Attention! Your payment failed and your account will be suspended in 24 hours. Update your payment information here: [suspicious link].,1
We noticed unusual activity in your bank account. Please confirm your identity immediately to prevent loss of funds: [link].,1
This is PayPal. You must confirm your account information to avoid suspension. Please enter your details at the following link: [phishing link].,1
Hello I am from your IT department. We need to update your credentials in the system. Kindly reply with your username and password to proceed.,1
This is your HR manager. Please fill out the attached form with your personal information to avoid losing your upcoming payment.,1
Congratulations! You've won a $500 Amazon Gift Card! Just confirm your details at the link below to claim your prize.,1
You have an unclaimed reward from your online shopping! Please click here to get it: [suspicious link].,1
We have a fantastic investment opportunity with guaranteed returns. Reply with your banking details to get started!,1
Hi I'm your colleague John. I'm locked out of my account and urgently need you to transfer $1 000 to this client while I resolve it. I’ll pay you back later.,1
This is your boss and I'm traveling right now. I need you to buy some gift cards for a client meeting urgently. Send the codes to me once purchased.,1
My car broke down on my way to meet a client and I need your help to pay for towing services. I'll reimburse you. Please click the link to transfer the funds.,1
Hey I found a funny picture of you online. You should really check this out: [suspicious link].,1
Hi it's Sarah from support. We need to verify your account credentials for security reasons. Please respond with your password.,1
Your friend Anna sent you a special message. Click here to view it: [phishing link].,1
Dear user your account will be locked in 24 hours unless you verify your identity. Click here to verify: [phishing link].,1
Congratulations! You've been selected for a $1 000 cash prize. Enter your details here to claim it: [phishing link].,1
We have detected a problem with your recent transaction. Please confirm your banking details to resolve the issue: [phishing link].,1
This is your IT department. We noticed some suspicious activity in your account. Please reply with your password to reset immediately.,1
Your package is on hold due to incomplete payment details. Click below to complete the payment and release your package: [phishing link].,1
This is Facebook Security Team. Your account has suspicious activity. Log in here to verify and secure your account: [phishing link].,1
Attention! Your account is about to expire. To avoid losing your data click here to extend your subscription: [phishing link].,1
We've found a problem with your recent online order. Please update your payment information to avoid cancellation: [phishing link].,1
This is PayPal. We need to confirm your recent transaction of $250. If this wasn't you click here to cancel: [phishing link].,1
Dear employee please send your login credentials for our system upgrade. This is important for accessing our updated resources.,1
We detected an issue in your tax form submission. Please provide your personal details here to fix it immediately: [phishing link].,1
This is your bank. Unusual activity has been detected in your account. Click the link to secure it: [phishing link].,1
Please help! I lost access to my account and I urgently need a payment transfer. Here are the details: [phishing link].,1
Hello this is Amazon. You have a delivery pending but your payment failed. Please update your information: [phishing link].,1
Your Netflix subscription has expired. Reactivate it here to continue enjoying our content: [phishing link].,1
Your friend John has shared a private photo with you. Click here to see it: [phishing link].,1
Your account has been flagged for suspicious activity. Log in now to verify your account and avoid suspension: [phishing link].,1
Hello we are the customer support team. We need your account details to help resolve an urgent issue. Please reply immediately.,1
Dear valued customer we are offering a limited-time discount on your next purchase. Claim your discount here: [phishing link].,1
This is Microsoft. Your account has been compromised. Follow the link to reset your credentials and secure your data: [phishing link].,1
Dear subscriber your mailbox is full. Click here to add more storage and prevent account lockout: [phishing link].,1
Urgent: Your credit card information needs to be updated. Click below to keep using your card without interruption: [phishing link].,1
Hello we noticed your banking information needs to be verified. Click here to continue your services without interruption: [phishing link].,1
Alert! Unusual login attempt detected. Verify your identity here to secure your account: [phishing link].,1
Your bank account is on hold. Please provide your credentials to unlock it immediately: [phishing link].,1
Your email account is nearing its storage limit. Click here to upgrade storage and avoid losing important messages: [phishing link].,1
Your Apple ID has been locked due to suspicious activity. To regain access confirm your details here: [phishing link].,1
Your payment information is outdated. Please update your billing details to avoid service interruption: [phishing link].,1
We noticed unauthorized transactions on your account. Verify your identity now to cancel these charges: [phishing link].,1
You have been selected for an exclusive offer from Amazon! Claim your $100 gift card here: [phishing link].,1
This is WhatsApp Support. Your account is at risk of being deleted. Click here to verify your information: [phishing link].,1
Dear user your cloud storage subscription has expired. Click here to renew now to keep your files safe: [phishing link].,1
You received a voice message from +1234567890. Click here to listen to your message: [phishing link].,1
Important notice: Your billing information needs to be verified to continue using your service. Update now: [phishing link].,1
Hello we detected an error in your tax return form. Resolve this issue now to avoid penalties: [phishing link].,1
Your package is out for delivery. Confirm your shipping address to receive your order: [phishing link].,1
Your account will be suspended in 48 hours due to suspicious activity. Click below to secure it: [phishing link].,1
Urgent: We need your help to update your personal information to avoid disruption of our services: [phishing link].,1
Dear subscriber you have won a free iPhone! Click here to fill out your shipping details and receive your prize: [phishing link].,1
Hello this is Instagram Support. Your account was flagged due to suspicious content. Please log in to restore your profile: [phishing link].,1
We require additional information to verify your purchase. Provide your billing details here: [phishing link].,1
Your social media account is at risk. Follow this link to secure your login information now: [phishing link].,1
Security Alert! Your online banking account needs verification due to suspicious login attempts. Click to confirm your identity: [phishing link].,1
This is your final warning to claim your lottery prize of $10 000. Click here to get started: [phishing link].,1
Your subscription to our premium service is due for renewal. Update your payment details here to continue: [phishing link].,1
Important: Your PayPal account has been limited. Please log in to restore full access: [phishing link].,1
You have a pending tax refund. Click here to fill out your information and receive your money: [phishing link].,1
Our system has detected multiple unsuccessful login attempts. Click here to confirm your account details: [phishing link].,1
You have received a surprise from a friend! Click here to see what they sent you: [phishing link].,1
This is LinkedIn Support. Verify your email to avoid account closure: [phishing link].,1
Hello this is Netflix. We are having trouble with your payment method. Update it here to avoid losing access: [phishing link].,1
Your Amazon Prime membership renewal failed. Please update your billing information here to continue enjoying Prime benefits: [phishing link].,1
We found unusual charges on your credit card. Please click here to verify the transactions: [phishing link].,1
Dear customer we need you to verify your account security settings. Follow this link to continue: [phishing link].,1
Your Google account will be deactivated in 24 hours unless you provide additional verification: [phishing link].,1
Your email password has expired. Please click here to update it now: [phishing link].,1
You've won a free vacation to the Bahamas! Click below to book your trip now: [phishing link].,1
Alert: Your bank account is in overdraft. Log in here to confirm your details and resolve the issue: [phishing link].,1
You need to verify your payment information to keep your account active. Click here to do it now: [phishing link].,1
Dear valued customer we have a security alert regarding your account. Verify your identity here to ensure continued use: [phishing link].,1
This is Facebook Support. Your profile has been reported. Click here to confirm your identity to avoid being banned: [phishing link].,1
We received a request to change your password. If this was not you click here to cancel it: [phishing link].,1
You have a new voicemail from an unknown number. Click here to listen now: [phishing link].,1
Hello we're contacting you regarding a claim you've made. Please click here to verify your information: [phishing link].,1
Your recent order could not be processed. Please provide updated payment information to proceed: [phishing link].,1
This is an important security notification from your bank. Log in to verify your transactions and prevent your account from being blocked: [phishing link].,1
Attention: Your email storage is almost full. Increase your quota here to avoid losing access to incoming emails: [phishing link].,1
We have noticed an irregularity in your Netflix subscription. Please verify your payment information here: [phishing link].,1
Hello this is customer support from Amazon. There was an issue with your recent purchase. Kindly verify your billing address here: [phishing link].,1
Your driver’s license renewal has been flagged for missing information. Click here to resolve the issue: [phishing link].,1
The University requires your updated student details for the upcoming semester. Click here to enter your information: [phishing link].,1
Your Windows license will expire soon. Click here to activate now and avoid service interruption: [phishing link].,1
Apple Support: Your iCloud has been accessed from an unauthorized device. Log in to check your activity: [phishing link].,1
Dear member your car insurance policy renewal is due. Please complete the payment here to continue your coverage: [phishing link].,1
This is your internet provider. We’ve detected an issue with your account. Click here to confirm your details and avoid disconnection: [phishing link].,1
Hi this is the hotel booking service. Your payment has failed. Click here to update your billing information: [phishing link].,1
Congratulations! You’ve been awarded a grant. Click here to submit your bank details to receive your funds: [phishing link].,1
This is LinkedIn Support. There was an attempt to log in to your account. Verify if it was you by following this link: [phishing link].,1
Your Amazon gift card is about to expire. Click here to use it before it's gone: [phishing link].,1
You have pending cash rewards. Confirm your details here to collect: [phishing link].,1
Your internet service will be terminated in 48 hours unless you confirm your billing information: [phishing link].,1
Hi this is Sarah. I'm locked out of my account. Can you help me by sending some money to pay this bill? I'll return it as soon as I can: [phishing link].,1
Your Gmail account requires immediate verification due to suspicious activity. Click here to secure your account: [phishing link].,1
Facebook alert: A login attempt was detected from a new device. Verify your account now to keep it secure: [phishing link].,1
This is Twitter Support. Your account has been flagged for suspicious content. Please log in here to avoid being restricted: [phishing link].,1
We’re contacting you regarding a claim you made for health insurance. Please verify your account information to continue processing: [phishing link].,1
Your airline ticket has been booked successfully. However your payment is pending. Please complete the payment here: [phishing link].,1
Dear customer your e-wallet account is about to expire. Click here to verify your information and maintain access: [phishing link].,1
We have detected a problem with your bank transfer. Please click here to verify your banking details: [phishing link].,1
Your phone service payment failed. Please update your payment method here to avoid disruption: [phishing link].,1
Hello we are offering you an exclusive opportunity for a home loan at a low interest rate. Click here to apply now: [phishing link].,1
Your social security account has an issue. Please confirm your personal information to resolve the problem: [phishing link].,1
You are receiving this because you have been chosen for a free membership to our online platform. Click here to join: [phishing link].,1
Your shopping cart is about to expire. Complete your order by following this link: [phishing link].,1
This is an urgent message from your bank. There is a high-risk login attempt. Secure your account here immediately: [phishing link].,1
Dear valued customer we have a fantastic offer on our services. Click here to find out more and secure your discount: [phishing link].,1
This is the HR department. You need to confirm your employee details for an audit. Please complete the form here: [phishing link].,1
Suspicious login attempt detected on your Office 365 account. Please verify your account activity to keep your data secure: [phishing link].,1
Your banking account has a pending transaction that requires verification. Click here to approve or deny: [phishing link].,1
This is your university’s financial aid office. You need to confirm your details to receive the upcoming scholarship: [phishing link].,1
There is an error in your utility bill payment. Click here to update your payment information: [phishing link].,1
You are required to complete a security update to continue using our services. Click here to update now: [phishing link].,1
Hey just checking in to see if you're free for lunch tomorrow. Let me know!,0
Please find attached the agenda for our upcoming meeting. Feel free to reach out if you have any questions.,0
Hi there! Your recent purchase is confirmed. Thank you for shopping with us.,0
Happy Birthday! Wishing you a wonderful day filled with love and happiness.,0
Reminder: Your dental appointment is scheduled for this Friday at 3 PM. Please call us if you need to reschedule.,0
It was great seeing you at the event yesterday! Let’s catch up soon.,0
The project meeting has been moved to Thursday at 10 AM. Please update your calendars accordingly.,0
Thank you for your recent application. We will review your submission and get back to you shortly.,0
Your package has been shipped and is expected to arrive on Monday. Track it here: [tracking link].,0
Could you please send over the finalized version of the report by end of day? Thanks in advance.,0
Hi Alex just wanted to let you know that I received the document you sent. It looks good!,0
Don’t forget to bring a dish to the potluck tomorrow. We are all looking forward to your famous pasta salad!,0
Just a reminder you have a subscription renewal coming up on March 10th. No action is needed if you wish to continue.,0
Thanks for reaching out! I'll get back to you as soon as I have an update on this.,0
Congratulations! You've been accepted into the course. Please log in to confirm your enrollment.,0
Here's the recipe I mentioned earlier. I hope you enjoy making it!,0
Hi I wanted to thank you for the amazing work you've done on the project. It made a big difference.,0
Are you available for a quick call this afternoon to go over the project details?,0
Our office will be closed on Monday for a public holiday. Regular hours will resume on Tuesday.,0
Hi! I loved the photos you posted—your vacation looked amazing! Where did you stay?,0
Just wanted to say thank you for your help today. It was much appreciated.,0
Please let me know if there's anything else I can do for you. I'm happy to help.,0
We've updated our privacy policy. Please take a moment to review it here: [link to privacy policy].,0
Thank you for your order. Your payment has been successfully processed.,0
Don't forget about the team event on Friday evening. We’re looking forward to seeing everyone there!,0
Here's your weekly newsletter—lots of interesting articles this week. Enjoy!,0
Thanks for inviting me to the event. I had a wonderful time and it was so good to catch up!,0
Your table reservation for Saturday evening at 7 PM is confirmed. We look forward to having you!,0
Here's your verification code: 483920. Please use it to complete your sign-in.,0
Hi John just wanted to say thanks for lending me that book. I loved it!,0
Your subscription to our service has been successfully renewed for the next year.,0
We received your application. We’ll be reviewing it and will get back to you soon.,0
Hey! Want to join us for a hike on Saturday morning? We’re meeting at 9 AM at the trailhead.,0
This is a reminder for your upcoming gym appointment this Wednesday. Please let us know if you need to reschedule.,0
Welcome to our service! You can log in and get started here: [link to log-in page].,0
Thanks for joining our webinar! We hope you found it useful. Here’s a link to the presentation slides.,0
Hi Emily we’re planning to visit the museum this weekend—would you like to join us?,0
Your bank statement for February is now available. Log in to view it securely.,0
We hope you enjoyed your stay! Please take a moment to provide us with feedback: [link to survey].,0
Could you share the contact information of the catering service you used? I’d like to reach out to them.,0
Your scheduled maintenance appointment is confirmed for Tuesday at 9 AM.,0
Hi there I'm just reaching out to let you know that your refund has been processed successfully.,0
Your recent password change request was successful. If this wasn't you please contact us immediately.,0
It was great meeting you at the conference! Here’s a link to the resources I mentioned: [link].,0
The concert tickets you purchased are attached to this email. Enjoy the show!,0
We wanted to thank you for your donation. It makes a big difference!,0
Hey! Just reminding you about dinner at my place on Saturday. Don’t forget to bring dessert!,0
Your membership has been updated and your new membership card will arrive within 7-10 business days.,0
Our shop is having a sale this week—everything is 20% off until Sunday!,0
Hey [Victim’s name] can you confirm if you’re available for a meeting on Wednesday at 2 PM?,0
Your latest mobile phone bill is ready. You can view it here: [link to the bill].,0
Congratulations! You've been selected to receive a special discount code. Use it before it expires!,0
We've updated our services and added new features based on user feedback. Check them out here: [link].,0
It was so nice to catch up with you over coffee the other day! Hope we can do it again soon.,0
The new book you've reserved is now available for pick-up at the library.,0
This is a reminder that your car insurance is due for renewal soon. Log in to renew it now.,0
Hi Sarah just letting you know I’ll be about 15 minutes late for our lunch—traffic is bad today!,0
We have received your payment for the monthly rent. Thank you!,0
Hey don’t forget to sign up for the team-building workshop this Friday. It’s going to be fun!,0
The system maintenance is scheduled for midnight tonight. Please save your work accordingly.,0
You are invited to our online community event this weekend! We’d love for you to join: [link].,0
We’ve noticed you haven’t logged in for a while. We miss you! Click here to see what’s new: [link].,0
Thank you for subscribing to our newsletter. You’ll be receiving updates weekly.,0
Remember our next book club meeting is on the 15th. The book this month is “To Kill a Mockingbird.”,0
Thanks for the referral! I really appreciate it.,0
Your recent transfer request has been completed. Check your account balance to confirm.,0
Hey I just finished that series you recommended—absolutely loved it! Any other suggestions?,0
Your account will be automatically renewed for the next billing cycle. No action is required.,0
Please let me know if you need help setting up the new software.,0
We've extended our store hours! We’re now open until 9 PM every weekday.,0
Thank you for your feedback! It helps us improve our services.,0
Reminder: Our customer satisfaction survey is still open. We'd love to hear your thoughts: [link to survey].,0
I found that recipe you were looking for! Sending it over now.,0
Please remember to update your profile details if anything has changed.,0
Congratulations on completing the course! Here’s your certificate: [link].,0
Your online shopping cart is still waiting for you. Don’t forget to complete your order!,0
Our office is moving to a new location. Please note our new address starting next week.,0
Thanks for attending the meeting. Here are the notes we discussed: [link to meeting notes].,0
Just wanted to say thank you again for all your help with the event planning.,0
We’re holding a giveaway to celebrate our 5th anniversary—join in for a chance to win! [link].,0
The package you ordered has been delivered to your front door.,0
You have successfully updated your contact preferences. Thank you.,0
Reminder: Flu shots are available at our clinic. Walk-ins welcome!,0
Thanks for recommending that movie. I watched it last night and loved it!,0
Your flight is confirmed for Friday July 14th. Please arrive at the airport two hours before departure.,0
Our new menu items have arrived! Come visit us and try them out.,0
Here’s your boarding pass for your upcoming flight. Have a great trip!,0
It’s your anniversary with us! Thank you for being a valued member of our community.,0
The photography workshop has been rescheduled for next Saturday at 10 AM.,0
Thank you for your patience while we processed your request. Here is the information you needed.,0
We’re looking forward to seeing you at the conference. Your badge is ready for pick-up.,0
Here’s a link to the slides from our recent webinar. Thanks for attending!,0
Hi I just wanted to remind you that your water bill is due next week. Please make sure to pay on time.,0
Your account balance is low. Please consider making a deposit to avoid overdraft charges.,0
Great news! You’ve been upgraded to our premium membership for free. Enjoy the benefits!,0
Please remember to bring your ID to the office tomorrow for the paperwork.,0
The movie night is set for Saturday at 8 PM. Don’t forget to bring your favorite snacks!,0
Thank you for your response. We will review it and get back to you shortly.,0
I can pick up the groceries on my way home if you need anything else. Let me know.,0
This is a reminder that your prescription is ready for pick-up at the pharmacy.,0
We have a new article on our blog that might interest you. Check it out here: [link].,0
Your subscription to our premium service has expired. Renew today to continue enjoying uninterrupted service.,0
Don’t forget about our game night this Friday! Hope you can make it.,0
Your requested vacation days have been approved. Enjoy your time off!,0
Reminder: Our annual company meeting will be held next Monday. Please mark your calendars.,0
We’ve updated our app! Make sure to download the latest version for new features and improvements.,0
You’re doing a fantastic job! Just wanted to let you know I appreciate your hard work.,0
The shipment is delayed due to bad weather. We apologize for the inconvenience and will keep you updated.,0
Hey I left my keys at your place yesterday. Could you bring them tomorrow if possible?,0
We received your resume and will be in touch if there is a good fit.,0
I just forwarded you the email with the event details—hope it helps!,0
Thank you for your order! You can track its progress here: [tracking link].,0
We’ve noticed some unusual activity on your account. Please check and confirm all recent transactions.,0
Our neighborhood clean-up is happening this Sunday morning. We’d love to see you there!,0
The final exam schedule is now available. Please check the attached document for your exam dates.,0
Our garden club is meeting this weekend. Bring your favorite plants to share with the group.,0
Here’s the information you requested earlier today. Let me know if you need anything else.,0
Don’t forget that our store is running a special offer this weekend—everything is 15% off!,0
Just a heads-up I’ll be running late for dinner tonight. Don’t wait up for me!,0
